"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Quantidade produzida (Toneladas)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Seringueiras (RO)";"-";"-";"-";"-";"170";"-";"...";"17";"5003";"-";"5003";"...";"-";"-";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"695";"-";"-";"-";"-";"-";"6";"-";"-";"-";"64";"-"
"Teixeirópolis (RO)";"-";"-";"-";"-";"50";"-";"...";"109";"124";"-";"124";"...";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Theobroma (RO)";"-";"-";"-";"-";"1200";"-";"...";"169";"1248";"-";"1248";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"76";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39";"-"
"Urupá (RO)";"-";"-";"-";"-";"109";"-";"...";"93";"358";"-";"358";"...";"-";"-";"-";"18";"-";"-";"-";"8";"-";"-";"10";"-";"30";"-";"16";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-"
"Vale do Anari (RO)";"-";"-";"-";"-";"100";"-";"...";"26";"1065";"-";"1065";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"33";"-";"-";"-";"-";"27";"-";"-";"-";"-";"-";"3";"-";"-";"-";"9";"-"
"Vale do Paraíso (RO)";"-";"-";"14";"-";"240";"-";"...";"35";"379";"-";"379";"...";"-";"-";"-";"54";"-";"-";"-";"-";"-";"16";"-";"-";"22";"-";"29";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Acrelândia (AC)";"-";"-";"52";"-";"16800";"4";"...";"-";"1725";"-";"1725";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"608";"450";"-";"-";"-";"62";"-";"-";"-";"-";"-";"-";"-";"-";"-";"12";"-"
"Assis Brasil (AC)";"-";"-";"-";"-";"2519";"2";"...";"-";"67";"-";"67";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"56";"38";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Brasiléia (AC)";"-";"-";"-";"-";"1710";"4";"...";"-";"176";"-";"176";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"139";"98";"-";"-";"-";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Bujari (AC)";"-";"-";"-";"-";"2366";"18";"...";"-";"7";"-";"7";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"360";"651";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Capixaba (AC)";"-";"-";"-";"-";"3707";"34";"...";"-";"10";"-";"10";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"252";"180";"-";"-";"-";"1350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Cruzeiro do Sul (AC)";"-";"-";"-";"-";"5665";"-";"...";"-";"113";"-";"113";"...";"-";"-";"-";"184";"-";"-";"-";"-";"-";"260";"98";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Epitaciolândia (AC)";"-";"-";"17";"-";"3220";"4";"...";"-";"56";"-";"56";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"168";"90";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Feijó (AC)";"-";"-";"-";"-";"7600";"-";"...";"-";"81";"-";"81";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"84";"88";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Jordão (AC)";"-";"-";"-";"-";"1150";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44";"22";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Mâncio Lima (AC)";"-";"-";"-";"-";"510";"-";"...";"-";"341";"-";"341";"...";"-";"-";"-";"167";"-";"-";"-";"-";"-";"38";"60";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Manoel Urbano (AC)";"-";"-";"-";"-";"3960";"-";"...";"-";"102";"-";"102";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"91";"182";"-";"-";"-";"23";"-";"-";"-";"-";"-";"-";"-";"-";"-";"7";"-"
"Marechal Thaumaturgo (AC)";"-";"-";"-";"-";"1426";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"16";"-";"-";"-";"-";"-";"51";"26";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Plácido de Castro (AC)";"-";"-";"60";"-";"4375";"22";"...";"-";"68";"-";"68";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"980";"1050";"-";"-";"-";"111";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Walter (AC)";"-";"-";"-";"-";"1456";"-";"...";"-";"30";"-";"30";"...";"-";"-";"-";"14";"-";"-";"-";"-";"-";"52";"24";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Rio Branco (AC)";"-";"-";"-";"-";"5633";"8";"...";"-";"6";"-";"6";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"406";"360";"-";"-";"-";"177";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8";"-"
"Rodrigues Alves (AC)";"-";"-";"-";"-";"639";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"144";"-";"-";"-";"-";"-";"51";"64";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Santa Rosa do Purus (AC)";"-";"-";"-";"-";"1870";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"69";"70";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Senador Guiomard (AC)";"-";"-";"-";"-";"2931";"48";"...";"-";"104";"-";"104";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"299";"345";"-";"-";"-";"298";"-";"-";"9";"-";"-";"-";"-";"-";"-";"3";"-"
"Sena Madureira (AC)";"-";"-";"-";"-";"2389";"6";"...";"-";"105";"-";"105";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"392";"252";"-";"-";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Tarauacá (AC)";"-";"-";"-";"-";"7125";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"156";"63";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Xapuri (AC)";"-";"-";"-";"-";"2374";"9";"...";"-";"56";"-";"56";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"108";"28";"-";"-";"-";"16";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Porto Acre (AC)";"-";"-";"-";"-";"8125";"-";"...";"-";"32";"-";"32";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"480";"233";"-";"-";"-";"77";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-"
"Alvarães (AM)";"-";"-";"520";"-";"600";"-";"...";"1";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Amaturá (AM)";"3";"-";"77";"-";"2550";"-";"...";"1";"-";"-";"-";"...";"-";"-";"-";"6";"-";"-";"-";"18";"-";"8";"3";"-";"30";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anamã (AM)";"-";"-";"308";"-";"630";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"600";"-";"200";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Anori (AM)";"-";"-";"3060";"-";"450";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"10";"-";"-";"4";"-";"45";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Apuí (AM)";"-";"-";"-";"-";"1400";"-";"...";"30";"350";"-";"350";"...";"-";"-";"-";"40";"-";"-";"-";"-";"40";"225";"28";"-";"70";"-";"33";"-";"-";"-";"-";"-";"8";"-";"-";"-";"-";"-"
"Atalaia do Norte (AM)";"24";"-";"11";"-";"2250";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"5";"-";"13";"18";"-";"10";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Autazes (AM)";"-";"-";"280";"-";"1650";"-";"...";"20";"6";"-";"6";"...";"-";"-";"-";"-";"-";"-";"-";"40";"6";"300";"25";"-";"350";"-";"350";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Barcelos (AM)";"-";"-";"368";"-";"1200";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"15";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
