"Tabela 1613 - Área destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras permanentes"
"Variável - Valor da produção (Mil Reais)"
"Município";"Ano x Produto das lavouras permanentes"
"Município";"2024"
"Município";"Abacate";"Algodão arbóreo (em caroço)";"Açaí";"Azeitona";"Banana (cacho)";"Borracha (látex coagulado)";"Borracha (látex líquido)";"Cacau (em amêndoa)";"Café (em grão) Total";"Café (em grão) Arábica";"Café (em grão) Canephora";"Caju";"Caqui";"Castanha de caju";"Chá-da-índia (folha verde)";"Coco-da-baía*";"Dendê (cacho de coco)";"Erva-mate (folha verde)";"Figo";"Goiaba";"Guaraná (semente)";"Laranja";"Limão";"Maçã";"Mamão";"Manga";"Maracujá";"Marmelo";"Noz (fruto seco)";"Palmito";"Pera";"Pêssego";"Pimenta-do-reino";"Sisal ou agave (fibra)";"Tangerina";"Tungue (fruto seco)";"Urucum (semente)";"Uva"
"Barreirinha (AM)";"-";"-";"44";"-";"1313";"-";"...";"30";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"240";"129";"21";"-";"38";"-";"109";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Benjamin Constant (AM)";"144";"-";"1134";"-";"4500";"-";"...";"30";"-";"-";"-";"...";"-";"-";"-";"30";"-";"-";"-";"58";"-";"325";"428";"-";"680";"60";"1500";"-";"-";"-";"-";"-";"-";"-";"270";"-";"-";"-"
"Beruri (AM)";"-";"-";"640";"-";"1840";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"96";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boa Vista do Ramos (AM)";"-";"-";"-";"-";"1960";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"-";"-";"-";"-";"-";"600";"70";"-";"-";"74";"-";"135";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Boca do Acre (AM)";"-";"-";"-";"-";"15000";"-";"...";"2490";"25";"-";"25";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"100";"24";"-";"180";"-";"220";"-";"-";"-";"-";"-";"160";"-";"-";"-";"-";"-"
"Borba (AM)";"-";"-";"8750";"-";"3623";"-";"...";"5250";"24";"-";"24";"...";"-";"-";"-";"18";"-";"-";"-";"120";"69";"500";"72";"-";"120";"-";"768";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Caapiranga (AM)";"-";"-";"7258";"-";"6720";"-";"...";"-";"-";"-";"-";"...";"-";"-";"-";"12";"-";"-";"-";"45";"-";"300";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Canutama (AM)";"-";"-";"5610";"-";"1288";"-";"...";"-";"140";"-";"140";"...";"-";"-";"-";"-";"-";"-";"-";"-";"-";"540";"75";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Carauari (AM)";"106";"-";"7747";"-";"1289";"-";"...";"-";"4";"-";"4";"...";"-";"-";"-";"10";"-";"-";"-";"-";"-";"360";"60";"-";"50";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Careiro (AM)";"-";"-";"477";"-";"7425";"-";"...";"-";"60";"-";"60";"...";"-";"-";"-";"7";"-";"-";"-";"864";"-";"1575";"162";"-";"440";"-";"1198";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
